,Basal Epithelial,Hematopoietic,Intermediate Epithelial,Mesenchymal,Mucosal-like,Superficial Epithelial
Bulk 0,0.3997187836291208,0.04171880610637231,0.0,0.23592572383530835,0.03419969645538701,0.28843698997381145
Bulk 1,0.4111247732611398,0.034540295298283,0.0,0.2375632778528878,0.03002743422620227,0.28674421936148714
Bulk 2,0.4031218458246704,0.04093057123752693,0.0,0.24186889393280667,0.032428090370670966,0.281650598634325
Bulk 3,0.5416835394127753,0.008451909712725884,0.0,0.1606888079215366,0.018350479231935633,0.2708252637210267
Bulk 4,0.5348854624400047,0.010178388148144316,0.0,0.20447717190138273,0.016945096084888037,0.23351388142558022
Bulk 5,0.5015890483643476,0.02406001582949172,0.0,0.23184380758317416,0.015509482326682375,0.22699764589630406
