,Basal Epithelial,Hematopoietic,Intermediate Epithelial,Mesenchymal,Mucosal-like,Superficial Epithelial
Bulk 0,0.20020101731678427,0.09289163318021265,0.12865991316678946,0.0454068601694179,0.10353865443451685,0.4293019217322789
Bulk 1,0.2200763978969939,0.12038607644999484,0.13393856863857032,0.050537977848199696,0.0905617757419137,0.3844992034243275
Bulk 2,0.207772490738449,0.08748124241055127,0.09061306920557169,0.044894543188700405,0.08896498044778398,0.48027367400894366
Bulk 3,0.36979106943586704,0.0,0.08077028478514493,0.09583400127236773,0.052101984185733134,0.4015026603208872
Bulk 4,0.36159110296024033,0.0,0.07948241391803687,0.08912460986786397,0.052756019455018816,0.41704585379884
Bulk 5,0.41406385871463053,0.0,0.015486773164972805,0.10969024002444863,0.05670927022869542,0.4040498578672526
