,Basal Epithelial,Hematopoietic,Intermediate Epithelial,Mesenchymal,Mucosal-like,Superficial Epithelial
Bulk 0,0.4133597044376445,0.017384074126204855,0.05635864098805885,0.1987441324380022,0.033931974145765466,0.28022147386432394
Bulk 1,0.4151624258897757,0.018029748094587166,0.06993836937076212,0.2006126985424765,0.03506086568865559,0.2611958924137429
Bulk 2,0.41334547812735867,0.01410949532551442,0.07313350450973517,0.19628584775450836,0.0335659140184747,0.2695597602644087
Bulk 3,0.4035847059915859,0.05067587535911898,0.0,0.17663685235296714,0.03446477402932896,0.3346377922669989
Bulk 4,0.38963980781743707,0.04208610220674244,0.0,0.21250921138705925,0.03323124620853174,0.32253363238022953
Bulk 5,0.38613558961313005,0.02623267417409448,0.0,0.21685528047800648,0.031034205542251527,0.33974225019251736
